kjfs+ l_dj= la;ak ;a+dk ;_k-a 
jk+a+ -dff; dd_kf fl+ja +_k-s 
akdsj ;--_a +ka;l akf=s flkdl 
f=k+l ;llss =l;js a=a-j sdf-_ 
+dk+j l++f_ k_laf jfkdl jj_lj 
sd;aa alal+ kdjf_ d-a=; _j_dd 
+==fk j++ff fj_+_ kk=_k k-l-j 
dafjf +;_+k fjdjf ++ds= lfd_f 
kdlfd s=djk fask+ _lkfj -ss-; 
jl_jk -+sks k;jf= +;lak ff-;+ 
;_+jf _ss-; -;lka ;fkjj =f=k- 
+;djd jlfsa aajsk fk-jf aakd+ 
lfkf; lll;s ;-l+- ja+fa sd-ka 
fjsfk =-=ss l;a;j j=;s; aka+d 
_a+s_ dj=da jss;j ;fj;d f=_dd 
fsf_; aff=l ;lj;k +sf;s j-a=k 
d-+sf ;;al_ -f-_; dk_;a s;ja= 
s_js= ak-d_ s=ask -+lf; dds;- 
=ka=s jjsld fd-fs jkjad l=dsk 
a--sj s;s+l =__l= j_kdk jsl+l 
_kad= +j-a; dajkd df;;d _jkj+ 
=fjk- -a=aj l+;fk ljkkk -k;=j 
jf;=- sf-l+ flsks ;f_da ff-fa 
dldkk dfa+j _l-+f djkjd ka;fl 
j=;j; __=== lalkk -dl_= -s;jd 
ds-a- =s;a- dljla =+==f =k+dk 
jas;- aljj; ssk=d j=-;f _-dfk 
;;-_j kl=l; -;s=f fss+d assl_ 
;;a== jf_dl ldlfj _lsdd ak=__ 
=d;k; j=s=d d-adl l_l;a fs-kk 
lsk;_ _a-al jkda; sl-sd ;ajad 
=ldss ss;al =+l=; fa-k= ;dl=f 
+d=+; k_akj aaka= j_a+s d;=_; 
d-;k= f;lja +=kl_ d=-s+ +ja=d 
_jd-a jf-jf dka-_ fka;; __lk- 
akl-; ;a=s+ s=l;f f;_d- =+=f; 
kas++ -kd+- kja+- lll-a a+-+- 
_;fk= dfl;= _+d=l ;s;-= k=d;j 
dk-a- -=dj_ s;;a; s=fsf j-llk 
faad_ =_-d= ;_k=s kld;k ++=-= 
=+j=; ;ksfl +ksdk ;=_;l fjj+- 
kk;aj ;d-l- aafkk ==ffl kajdl 
=falf -;=_j fsd-- ==kl_ fjdf_ 
j=sk= f+;sa s-_;+ s;;kl j+ds- 
skklf lk=d_ +sa=d ;lka= j-sld 
a=kfl -ljaa fds;s =;jsl skl;; 
+k+_d ;ss-k _=kl- _adk; kjs=d 
=f=ka fl==l _=dfa ldfj- jjjks 
llddf ++k=d s+=fd l+-=k s_kkf 
