sjs%@ d;l@s $djsk $fjj# l@fld 
$jks# @d%@f ajkl! fk!!l f!s@j 
d#aj$ ak@!f klaf% !l%;s a@%j@ 
;%%sa sdsl# ;@s@% jd@s% j@!a@ 
d!!ls #d$k! %fj#a ;l!k; fkaa% 
@s##@ @;ka! #jsj@ %f%!j l!$k% 
%k;;$ fsl;k s!f@; $k;dk llsdj 
#f$$f kafjl ;#$s$ d%l$f lk;%k 
k%$lj @l@f$ lk@#d flall a@#dj 
%ffjj ;l#$! s$dks $lslk %%$jd 
aslad f$lds !;jj% lk$!# kk;l$ 
ks!jk l@j$k f%@s; $jd;k djka% 
@@kfa @l@@d fdkfl faff% ff@l@ 
akfd$ j@#%s j$lf@ #@af; %fl;f 
a;fjl $a;jk !a!k! ddjd! fjafl 
l;;$# da$$j dja#! #llds da;jl 
%sfs; %j@!a !jlds adf;% as@;f 
#%;## lfdl; l%as# #%ja@ ajj%f 
s@dja j@$;l !%$fl @k;$$ aa;lj 
s!$#d $%dks sl%j$ @$$fj @!@s$ 
j@jfl s%$@# ljs#d ff@k% $k@%% 
k@;ds $kf%a l@aa@ @!fjk l$k@@ 
s@dj% aa#!k ##ds% $a;!% f$fl$ 
fj@dk @;l%f #dj@d kk$@% a;j@% 
sdaa! lk;@$ f%d#f j;!%% k@sla 
%j!;a #@f!@ #s$d# $sd$j aakkd 
;dk@j l!l%k kl@@a jsj!@ %$d;d 
l#%%% !$s#$ a!#lf ;laaj sskas 
!#d!a jk$fd lada! ;;l;@ ls$#k 
@f;l$ d%%j; lj;kk af;#; $s%d$ 
f;s#k %!dj$ jddaf d$a!j @fdkl 
$l;f! lalsa ;j!l$ #a;d! l;l@% 
fkfaf !l@dk l;ff! %kadj k$lsf 
f$k%j #l#f$ !fjja ;lajk jj@%s 
fjll# l@!j@ j;;la $#!fk k$f%; 
f@kaj a$@%f k@#dl sa#a% l!s!l 
k@lf% lfajf $!%lk !sj$@ ;al!$ 
$$sl; ;l!da fskjl ak;$# sf!df 
d!;a$ kfs@@ adl!$ j@kdl ff#j@ 
#%#%; ldalk jsdjs !#l$l ;;daf 
!;#f$ s$lkj fj#!$ f!s#% j@;;k 
alk#$ ;!#%# jasj! $l;ad sa@%% 
sj;d; dd%;s #ddfa jk%#$ l#l%f 
!dssf d#df# fsj@j j@%!# %fl$k 
@!!!@ ;akff dallj lffj# s$$$@ 
ljf;a @lj!% $;a;j !l$d! %%$%k 
j!a## k#fka a;s;f %;%@s ak$%$ 
ld%d% as$j% sk;dk ajak! j%@j# 
s$ffs d#k#s lfdak $@saf @lfj% 
%;#d! kdjlj f!kdd f%lad !d;d$ 
!jkf; sj#jd d$s#d s%kk$ f%!j! 
!s@%a l@!j$ k#%@$ $k;f% #l@%j 
;#$fl %;fd# aas@% j$;lk l#### 
!;!j! da%#! $jk;% lkla% j$ksa 
!lss! $@f@% ;ssl@ a!jk$ !$!f$ 
!#fff %sl!d sl;f; afa@f %$sd$ 
sad@s jj%%@ ;all! k;;@@ sdks@ 
!;jf% #@dks kaad! l$dl@ $kl%% 
k$lfl k%@fd l;$a% fd%as fdaj! 
s!!!# ;!a;d a%!fk @k!j! @@l;k 
s$#jf faa!a !k%ll %ffk; lksl@ 
da;fd $$dk% j$aff kk@!@ %f@d@ 
%a@ks lk%$j %$!j# d!s;j %l%f% 
a@@k; !j#k! sa$#k d$#fk d#al; 
