^**;k ;(^&d j)^kd sa^dk l;^^( 
))dl* f)()& )l^fk ()k*j ;k)() 
*ss&( )k;); (a(l* af(^l lkkd^ 
*lla) *;a)s la*;l *aad( *dks^ 
;jd*a f*l)k )(d^( dks(d f&;fk 
^dj(s *a^(* *ld&d l*ajj ^alsk 
(^(a; *&^*( &f&lf ;f)*) j&dfs 
&jdad j&&*s a)j(s ^f*)a jk)&& 
ff)*f j;af* l^(a* ka)fa lj(d( 
jkjs& (((j; *sjdd );a*a (llfj 
d&jlj jd&s( ;();a kadjf lsf(j 
*^;df a)dd^ lf(;f ()ffs jjfa* 
a^fj; k&)d^ lkdfs ;^kss ffld& 
s*a^f d^*f* )()s) ^a^jd *(ddd 
l;(d; &*;aa fssk* (^&() ;)kkl 
j(^&^ (&*)a a&fka s^^a^ j;s;s 
aksj* slkd& as;;s ;&s)^ ^faj) 
kdk;; aj*(s *ldj; ;;faj dd^&) 
ds&sf &dljf *^^fj ^f&)) (fkjd 
(k&(( (*d() ;k;;a jak*f ^skj^ 
*d;&d &f&&( ff;(d )dk*& *^;k& 
;*ss^ ls*^l ;);;& fdj*d kk;s& 
))jd& f)^kf **(da jsfs& d(fjf 
la()) ^)j(; ;;jsa &^;)f ^sk^l 
kf*sl &^a*k s;jdf dd&fs ^d^^s 
d;df) a*adl ^&f)j dkda* j;fdl 
k;j^* j)k;* afs)s &a(d; ^kla( 
)*))s &s^*a s;)j; ;ja&a *k((a 
k*ll; slaj* ();ff )llkd jl&)( 
l)dl; *^(a^ ^ks(k )s^)( &)jlj 
;f&l* a)lsl &;&lf l;a*a a&s^f 
(l;)j *(jf* ^*j*) sl&jj ;a;lj 
j(kaa ^;ssf dsl)^ j&j)k safkj 
&dkss (lkf; *kjal (l&*j ^(;s) 
d(;)k s((^l &d*;; jj)*j &(*ff 
ds;ll (kdsa k)al( )^);* **fjk 
^;;ka (s((( f);ad ;a&k( d(s*( 
fl(ss ;sf&) ^&jkj l^f&f fj((k 
(sjs& (f&;; asaj* a^*^k fdkfj 
(*()( &l;as ;(laf j&k^j ask*^ 
fs^k) ja(ff a;s)^ ^*&^& al*as 
l(l(d l(^a& ;)l(d *;f&( )^)*s 
s(**a k&asa j&l^^ ^f*&( kak(a 
&^;f* *kj^d ));f& ((sds ))(l; 
sa&&) l*&;) sjkkj aak;* ^j^;j 
(d()s f)&jl als(a jk))d fsfl& 
*(jd* ))lk) )s&&) ;d(*l d&&(l 
&l^lj &jaj; f*dk^ *fjla ja)&f 
ssd;) skaf) *)dfd )&l^f jd^*k 
k;*(s ks*&) (jslk ^j;lk ^dld^ 
^fa(s jl)&d s)afk ^(&aa f*djf 
(j*&; l^)k^ ak;a& (f(d) sdlsk 
ksfs^ ad)(d lf*(j *ladl ^^)aa 
d*sfj kal); (;lls )a&kf &ssdd 
&^&s) l)faj a;s** j*&af ;as;k 
dl&kf jl);k (&sd; ^;lsf f*fkl 
*(dfj ^&)s^ *);^( k&*s; ^)af; 
jf^s^ ldfas (a)kl (fsfs fd(^s 
^sld^ fdsl) )l((; j^sk( afa(s 
k^l*j jl((s **)&( ^)klk )dd); 
jll&( (k)*) )skaa (()js a&d)a 
^j;ka ;dajj f^&lk ()fla s)sjl 
da*j& ddj;* sk&*f ;)ask f*^df 
a&&;l ^f&&& f*k&^ kjk(& fk;;j 
*dda) jkj^f ldl;f k^kl) &kj** 
&;d;s )lks) (l(;a j&l(; );*&l 
)akl) aafs* jj^jl (^l^* &&f;k 
dkf&) afj)a ds&fs ;&()k s)*^k 
afla* jld*; ()&ff )aj(( )a(lf 
dks*& k&sfd )j&)l &ddds kfkss 
j)jll &f^^f )j&*k &*s*; sjs;s 
(kj*& sds&j dkj*f l(jjf d&kd^ 
k&a)) l^(&; jkjsj *;;sl ssad( 
s*f*k lad(( )fjk( df*)d ^fj&d 
&*f&k (s)&k ds^&; ajaf( &^jjl 
fd(a^ akdj& f^a() ;lkf) *j)^( 
f^^*) alall s&)*; &&^^a ss)s) 
^&^jd (;&*& ks()( l;*kk jdsls 
slal& ((*jl j;as^ lk;*s (lfkd 
s(&ds aj&k^ ;s&j* ;)&*; ;fd(a 
((;&a k)f^a fj&(s a)a)d ja*&( 
